CONDITION,CODE_TYPE,CODE,CODE_DESCRIPTION
RHEUMATOID_ARTHRITIS,icd_10_cm,M05041,"Felty's syndrome, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05042,"Felty's syndrome, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05049,"Felty's syndrome, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05051,"Felty's syndrome, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05052,"Felty's syndrome, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05059,"Felty's syndrome, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05061,"Felty's syndrome, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05062,"Felty's syndrome, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05069,"Felty's syndrome, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05071,"Felty's syndrome, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05072,"Felty's syndrome, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M05079,"Felty's syndrome, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0509,"Felty's syndrome, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0510,Rheumatoid lung disease with rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05111,Rheumatoid lung disease with rheumatoid arthritis of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05112,Rheumatoid lung disease with rheumatoid arthritis of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05119,Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05121,Rheumatoid lung disease with rheumatoid arthritis of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05122,Rheumatoid lung disease with rheumatoid arthritis of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05129,Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05131,Rheumatoid lung disease with rheumatoid arthritis of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05132,Rheumatoid lung disease with rheumatoid arthritis of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05139,Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05141,Rheumatoid lung disease with rheumatoid arthritis of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05142,Rheumatoid lung disease with rheumatoid arthritis of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05149,Rheumatoid lung disease with rheumatoid arthritis of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05151,Rheumatoid lung disease with rheumatoid arthritis of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05152,Rheumatoid lung disease with rheumatoid arthritis of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05159,Rheumatoid lung disease with rheumatoid arthritis of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05161,Rheumatoid lung disease with rheumatoid arthritis of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05162,Rheumatoid lung disease with rheumatoid arthritis of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05169,Rheumatoid lung disease with rheumatoid arthritis of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05171,Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05172,Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05179,Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0519,Rheumatoid lung disease with rheumatoid arthritis of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M0520,Rheumatoid vasculitis with rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05211,Rheumatoid vasculitis with rheumatoid arthritis of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05212,Rheumatoid vasculitis with rheumatoid arthritis of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05219,Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05221,Rheumatoid vasculitis with rheumatoid arthritis of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05222,Rheumatoid vasculitis with rheumatoid arthritis of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05229,Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05231,Rheumatoid vasculitis with rheumatoid arthritis of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05232,Rheumatoid vasculitis with rheumatoid arthritis of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05239,Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05241,Rheumatoid vasculitis with rheumatoid arthritis of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05242,Rheumatoid vasculitis with rheumatoid arthritis of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05249,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05251,Rheumatoid vasculitis with rheumatoid arthritis of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05252,Rheumatoid vasculitis with rheumatoid arthritis of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05259,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05261,Rheumatoid vasculitis with rheumatoid arthritis of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05262,Rheumatoid vasculitis with rheumatoid arthritis of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05269,Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05271,Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05272,Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05279,Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0529,Rheumatoid vasculitis with rheumatoid arthritis of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M0530,Rheumatoid heart disease with rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05311,Rheumatoid heart disease with rheumatoid arthritis of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05312,Rheumatoid heart disease with rheumatoid arthritis of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05319,Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05321,Rheumatoid heart disease with rheumatoid arthritis of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05322,Rheumatoid heart disease with rheumatoid arthritis of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05329,Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05331,Rheumatoid heart disease with rheumatoid arthritis of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05332,Rheumatoid heart disease with rheumatoid arthritis of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05339,Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05341,Rheumatoid heart disease with rheumatoid arthritis of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05342,Rheumatoid heart disease with rheumatoid arthritis of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05349,Rheumatoid heart disease with rheumatoid arthritis of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05351,Rheumatoid heart disease with rheumatoid arthritis of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05352,Rheumatoid heart disease with rheumatoid arthritis of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05359,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05361,Rheumatoid heart disease with rheumatoid arthritis of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05362,Rheumatoid heart disease with rheumatoid arthritis of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05369,Rheumatoid heart disease with rheumatoid arthritis of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05371,Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05372,Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05379,Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M0569,Rheumatoid arthritis of multiple sites with involvement of other organs and systems
RHEUMATOID_ARTHRITIS,icd_10_cm,M0570,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05711,Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05712,Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05719,Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05721,Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05722,Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05729,Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05731,Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05732,Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05739,Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05749,Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05751,Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05752,Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05759,Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05761,Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05762,Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05769,Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M057A,Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement
RHEUMATOID_ARTHRITIS,icd_10_cm,M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder
RHEUMATOID_ARTHRITIS,icd_10_cm,M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow
RHEUMATOID_ARTHRITIS,icd_10_cm,M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist
RHEUMATOID_ARTHRITIS,icd_10_cm,M05841,Other rheumatoid arthritis with rheumatoid factor of right hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05842,Other rheumatoid arthritis with rheumatoid factor of left hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand
RHEUMATOID_ARTHRITIS,icd_10_cm,M05851,Other rheumatoid arthritis with rheumatoid factor of right hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05852,Other rheumatoid arthritis with rheumatoid factor of left hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip
RHEUMATOID_ARTHRITIS,icd_10_cm,M05861,Other rheumatoid arthritis with rheumatoid factor of right knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05862,Other rheumatoid arthritis with rheumatoid factor of left knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee
RHEUMATOID_ARTHRITIS,icd_10_cm,M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot
