CONDITION,THERAPY,CODE_TYPE,CODE,CODE_DESCRIPTION
MULTIPLE_MYELOMA,dexamethasone,ndc,00023334808,dexamethasone .7 mg/1 implant [OZURDEX]
MULTIPLE_MYELOMA,prednisone,ndc,00054001720,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001920,PredniSONE 50 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054872425,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054873925,PredniSONE 1 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054982825,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001725,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054372263,PredniSONE 5 mg/5mL solution [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054818125,Dexamethasone 1.5 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054474131,PredniSONE 1 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054981829,PredniSONE 20 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054372250,PredniSONE 5 mg/5mL solution [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418325,Dexamethasone 2 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054474225,PredniSONE 2.5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054817425,Dexamethasone 1 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054817625,Dexamethasone 2 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418125,Dexamethasone 1 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418225,Dexamethasone 1.5 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418425,Dexamethasone 4 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054981725,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054982831,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001729,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054317763,Dexamethasone .5 mg/5mL solution [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418025,Dexamethasone .75 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418625,Dexamethasone 6 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054474125,PredniSONE 1 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054817525,Dexamethasone 4 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054818025,Dexamethasone .75 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054818325,Dexamethasone 6 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054874025,PredniSONE 2.5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001825,PredniSONE 20 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,cyclophosphamide,ndc,00054038225,Cyclophosphamide 25 mg/1 capsule [Cyclophosphamide]
MULTIPLE_MYELOMA,cyclophosphamide,ndc,00054038325,Cyclophosphamide 50 mg/1 capsule [Cyclophosphamide]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054317644,"Dexamethasone Intensol 1 mg/mL solution, concentrate [Dexamethasone Intensol]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00054317757,Dexamethasone .5 mg/5mL solution [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054372144,"PredniSONE Intensol 5 mg/mL solution, concentrate [PredniSONE Intensol]"
MULTIPLE_MYELOMA,prednisone,ndc,00054472831,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054981729,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001820,PredniSONE 20 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001829,PredniSONE 20 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,00054001925,PredniSONE 50 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054417925,Dexamethasone .5 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054418231,Dexamethasone 1.5 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054472825,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00054817925,Dexamethasone .5 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,00054981825,PredniSONE 20 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,00065064710,
MULTIPLE_MYELOMA,dexamethasone,ndc,00065064725,
MULTIPLE_MYELOMA,doxorubicin,ndc,00069303020,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069400405,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069303220,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069401510,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069303120,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069403701,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00065063136,"neomycin sulfate, polymyxin b sulfate and dexamethasone 1; 3.5; 10000 mg/g; mg/g; [USP'U]/g ointment [MAXITROL]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069303420,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00065064705,
MULTIPLE_MYELOMA,doxorubicin,ndc,00069303320,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00069402625,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00078092525,dexamethasone 1 mg/mL suspension/ drops [Maxidex]
MULTIPLE_MYELOMA,dexamethasone,ndc,00078077101,"neomycin sulfate, polymyxin b sulfate and dexamethasone 1; 3.5; 10000 mg/g; mg/g; [USP'U]/g ointment [MAXITROL]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00078079975,ciprofloxacin and dexamethasone 3; 1 mg/mL; mg/mL suspension/ drops [CIPRODEX]
MULTIPLE_MYELOMA,dexamethasone,ndc,00078095340,tobramycin and dexamethasone 1; 3 mg/mL; mg/mL suspension/ drops [TobraDex]
MULTIPLE_MYELOMA,dexamethasone,ndc,00078079205,"neomycin sulfate, polymyxin b sulfate and dexamethasone 1; 3.5; 10000 mg/mL; mg/mL; [USP'U]/mL suspension [Maxitrol]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00078087601,tobramycin and dexamethasone 1; 3 mg/g; mg/g ointment [TobraDex]
MULTIPLE_MYELOMA,dexamethasone,ndc,00078095325,tobramycin and dexamethasone 1; 3 mg/mL; mg/mL suspension/ drops [TobraDex]
MULTIPLE_MYELOMA,dexamethasone,ndc,00078095326,tobramycin and dexamethasone 1; 3 mg/mL; mg/mL suspension/ drops [TobraDex]
MULTIPLE_MYELOMA,prednisolone,ndc,00121075908,Prednisolone Sodium Phosphate 15 mg/5mL solution [Prednisolone Sodium Phosphate]
MULTIPLE_MYELOMA,doxorubicin,ndc,00143908401,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00143908501,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00143937001,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Adriamycin]"
MULTIPLE_MYELOMA,doxorubicin,ndc,00143937101,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Adriamycin]"
MULTIPLE_MYELOMA,etoposide,ndc,00143951201,Etoposide 20 mg/mL injection [Etoposide]
MULTIPLE_MYELOMA,doxorubicin,ndc,00143954701,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Adriamycin]"
MULTIPLE_MYELOMA,prednisolone,ndc,00404995702,"Methylprednisolone Sodium Succinate 125 mg/2mL injection, powder, for solution [Solu-Medrol]"
MULTIPLE_MYELOMA,prednisolone,ndc,00404995801,"Methylprednisolone Sodium Succinate 40 mg/mL injection, powder, for solution [Solu-Medrol]"
MULTIPLE_MYELOMA,lenalidomide,ndc,00480124328,Lenalidomide 10 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,lenalidomide,ndc,00480124421,Lenalidomide 15 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,lenalidomide,ndc,00480124521,Lenalidomide 20 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,prednisone,ndc,00591505243,Prednisone 5 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00591544243,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00591544301,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,00603459315,methylprednisolone 4 mg/1 tablet [MethylPREDNISolone]
MULTIPLE_MYELOMA,prednisone,ndc,00615843939,prednisone 5 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00615844039,prednisone 10 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00615844139,prednisone 20 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,00781351675,"METHYLPREDNISOLONE ACETATE 80 mg/mL injection, suspension [METHYLPREDNISOLONE ACETATE]"
MULTIPLE_MYELOMA,dexamethasone,ndc,00904726661,dexamethasone 4 mg/1 tablet [dexamethasone]
MULTIPLE_MYELOMA,prednisone,ndc,10135077710,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,11980018005,prednisolone acetate 10 mg/mL suspension/ drops [PRED FORTE]
MULTIPLE_MYELOMA,bendamustine,ndc,16729025003,"bendamustine hydrochloride 25 mg/5mL injection, powder, lyophilized, for solution [bendamustine hydrochloride]"
MULTIPLE_MYELOMA,dexamethasone,ndc,24208029505,Tobramycin and Dexamethasone 1; 3 mg/mL; mg/mL suspension/ drops [Tobramycin and Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,24208083060,"Neomycin sulfate, Polymyxin B Sulfate and Dexamethasone 1; 3.5; 10000 mg/mL; mg/mL; [USP'U]/mL suspension/ drops [Neomycin Polymyxin B Sulfates and Dexamethasone]"
MULTIPLE_MYELOMA,prednisolone,ndc,25021082105,"methylprednisolone acetate 80 mg/mL injection, suspension [methylprednisolone acetate]"
MULTIPLE_MYELOMA,prednisone,ndc,42291076801,
MULTIPLE_MYELOMA,prednisone,ndc,42708010510,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,42806040021,METHYLPREDNISOLONE 4 mg/1 tablet [METHYLPREDNISOLONE]
MULTIPLE_MYELOMA,prednisone,ndc,43063070320,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,43063086620,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,43063086650,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,43063091121,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,43063096821,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,lenalidomide,ndc,43598051163,Lenalidomide 5 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,lenalidomide,ndc,43598051301,Lenalidomide 15 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,lenalidomide,ndc,43598051501,Lenalidomide 25 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,prednisolone,ndc,45865010421,Methylprednisolone 4 mg/1 tablet [Methylprednisolone]
MULTIPLE_MYELOMA,cyclophosphamide,ndc,46708061831,Cyclophosphamide 25 mg/1 capsule [Cyclophosphamide]
MULTIPLE_MYELOMA,cyclophosphamide,ndc,46708061931,Cyclophosphamide 50 mg/1 capsule [Cyclophosphamide]
MULTIPLE_MYELOMA,lenalidomide,ndc,47781048301,Lenalidomide 2.5 mg/1 capsule [LENALIDOMIDE]
MULTIPLE_MYELOMA,lenalidomide,ndc,47781048777,Lenalidomide 20 mg/1 capsule [LENALIDOMIDE]
MULTIPLE_MYELOMA,dexamethasone,ndc,47781091401,dexamethasone 4 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,prednisolone,ndc,49999015330,methylprednisolone 4 mg/1 tablet [Methylprednisolone]
MULTIPLE_MYELOMA,prednisolone,ndc,50090065500,Prednisolone 15 mg/5mL solution [Prednisolone]
MULTIPLE_MYELOMA,dexamethasone,ndc,50090330000,"DEXAMETHASONE SODIUM PHOSPHATE 4 mg/mL injection, solution [DEXAMETHASONE SODIUM PHOSPHATE]"
MULTIPLE_MYELOMA,prednisone,ndc,50090333600,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090333602,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090333603,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090581606,PREDNISONE 5 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090612300,prednisone 20 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090625900,prednisone 20 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,50383004248,[Prednisolone]
MULTIPLE_MYELOMA,prednisone,ndc,51407035501,PredniSONE 1 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,dexamethasone,ndc,51407036101,Dexamethasone 4 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,cyclophosphamide,ndc,51407074905,"cyclophosphamide 200 mg/mL injection, solution [CYCLOPHOSPHAMIDE]"
MULTIPLE_MYELOMA,cyclophosphamide,ndc,51407075010,"cyclophosphamide 200 mg/mL injection, solution [CYCLOPHOSPHAMIDE]"
MULTIPLE_MYELOMA,prednisone,ndc,51655035526,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,51655041021,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,51655041054,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,51655076521,Prednisone 5 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,51655077952,
MULTIPLE_MYELOMA,prednisone,ndc,51655097220,PREDNISONE 10 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,51655097252,PREDNISONE 10 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,dexamethasone,ndc,51662139101,"DEXAMETHASONE SODIUM PHOSPHATE 10 mg/mL injection, solution [DEXAMETHASONE SODIUM PHOSPHATE]"
MULTIPLE_MYELOMA,prednisone,ndc,54348050620,PREDNISONE 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,00121090204,Prednisolone Sodium Phosphate 5 mg/5mL solution [Prednisolone Sodium Phosphate]
MULTIPLE_MYELOMA,doxorubicin,ndc,00143909001,"Doxorubicin Hydrochloride 2 mg/mL injection, solution [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,prednisolone,ndc,00143985101,"Methylprednisolone Sodium Succinate 1 g/1 injection, powder, for solution [Methylprednisolone Sodium Succinate]"
MULTIPLE_MYELOMA,prednisone,ndc,00378064110,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00378064201,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00378064205,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,lenalidomide,ndc,00378194221,Lenalidomide 20 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,lenalidomide,ndc,00480124128,Lenalidomide 2.5 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,dexamethasone,ndc,00574416035,"Neomycin, Polymyxin B Sulfates, Dexamethasone 1; 3.5; 10000 mg/g; mg/g; [USP'U]/g ointment [Neomycin and Polymyxin B Sulfates and Dexamethasone]"
MULTIPLE_MYELOMA,prednisone,ndc,00591544205,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,00615843839,PREDNISONE 1 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,vincristine,ndc,00703440211,
MULTIPLE_MYELOMA,prednisolone,ndc,00904691461,methylprednisolone 4 mg/1 tablet [methylprednisolone]
MULTIPLE_MYELOMA,prednisone,ndc,10135077805,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisolone,ndc,11980018006,prednisolone acetate 10 mg/mL suspension/ drops [PRED FORTE]
MULTIPLE_MYELOMA,prednisolone,ndc,11980018015,prednisolone acetate 10 mg/mL suspension/ drops [PRED FORTE]
MULTIPLE_MYELOMA,doxorubicin,ndc,16714000101,"Doxorubicin hydrochloride 2 mg/mL injection, solution [Doxorubicin hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,16714085601,"Doxorubicin Hydrochloride 2 mg/mL injectable, liposomal [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,cyclophosphamide,ndc,16714085801,"cyclophosphamide 2 g/100mL injection, powder, for solution [Cyclophosphamide]"
MULTIPLE_MYELOMA,dexamethasone,ndc,24208029525,Tobramycin and Dexamethasone 1; 3 mg/mL; mg/mL suspension/ drops [Tobramycin and Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,24208072002,Dexamethasone Sodium Phosphate 1 mg/mL solution/ drops [Dexamethasone Sodium Phosphate]
MULTIPLE_MYELOMA,prednisolone,ndc,25021082005,"methylprednisolone acetate 40 mg/mL injection, suspension [methylprednisolone acetate]"
MULTIPLE_MYELOMA,dexamethasone,ndc,42195012106,[TaperDex 6-day]
MULTIPLE_MYELOMA,prednisone,ndc,42291072710,Prednisone 5 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,42708004521,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisolone,ndc,42806040001,METHYLPREDNISOLONE 4 mg/1 tablet [METHYLPREDNISOLONE]
MULTIPLE_MYELOMA,prednisone,ndc,43063070321,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,43063096830,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisolone,ndc,43598012811,Methylprednisolone sodium succinate 500 mg/8mL injection [Methylprednisolone sodium succinate]
MULTIPLE_MYELOMA,lenalidomide,ndc,43598051663,Lenalidomide 2.5 mg/1 capsule [Lenalidomide]
MULTIPLE_MYELOMA,doxorubicin,ndc,43598054125,"Doxorubicin Hydrochloride 2 mg/mL injectable, liposomal [Doxorubicin Hydrochloride]"
MULTIPLE_MYELOMA,doxorubicin,ndc,45963073355,"Doxorubicin hydrochloride 2 mg/mL injection, solution [Doxorubicin hydrochloride]"
MULTIPLE_MYELOMA,melphalan,ndc,47781020050,"Melphalan USP, 2 mg 2 mg/1 tablet [Melphalan]"
MULTIPLE_MYELOMA,lenalidomide,ndc,47781048601,Lenalidomide 15 mg/1 capsule [LENALIDOMIDE]
MULTIPLE_MYELOMA,lenalidomide,ndc,47781048677,Lenalidomide 15 mg/1 capsule [LENALIDOMIDE]
MULTIPLE_MYELOMA,dexamethasone,ndc,50090008800,Dexamethasone 4 mg/1 tablet [Dexamethasone]
MULTIPLE_MYELOMA,dexamethasone,ndc,50090057000,"Neomycin sulfate, Polymyxin B Sulfate and Dexamethasone 1; 3.5; 10000 mg/mL; mg/mL; [USP'U]/mL suspension/ drops [Neomycin Polymyxin B Sulfates and Dexamethasone]"
MULTIPLE_MYELOMA,dexamethasone,ndc,50090231302,"Dexamethasone Sodium Phosphate 4 mg/mL injection, solution [Dexamethasone Sodium Phosphate]"
MULTIPLE_MYELOMA,dexamethasone,ndc,50090231303,"Dexamethasone Sodium Phosphate 4 mg/mL injection, solution [Dexamethasone Sodium Phosphate]"
MULTIPLE_MYELOMA,prednisolone,ndc,50090309400,Methylprednisolone 4 mg/1 tablet [Methylprednisolone]
MULTIPLE_MYELOMA,prednisone,ndc,50090313700,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090313708,Prednisone 10 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090333601,Prednisone 20 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090336104,Prednisone 5 mg/1 tablet [Prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090581401,PREDNISONE 5 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090612205,prednisone 20 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,50090612305,prednisone 20 mg/1 tablet [prednisone]
MULTIPLE_MYELOMA,prednisone,ndc,51407035710,PredniSONE 5 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,51407035805,PredniSONE 10 mg/1 tablet [PredniSONE]
MULTIPLE_MYELOMA,prednisone,ndc,51407036001,PredniSONE 50 mg/1 tablet [PredniSONE]
